path,size_bytes,file_count,purpose,classification,include_in_git,manifest_only,exclude,justification,risk_level,largest_files,private_path_or_mount_name_in_path,credential_like_filename_present,final_paper_relationship,future_iclr_relationship
promptpacks/journal_tkde_plus_build_pack,61348,97,"Local environment, cache, archive, backup, or duplicate package.",historical/local-only/environment/generated,no,no,yes,Explicitly excluded by the governing public-repository safety rules.,high,promptpacks/journal_tkde_plus_build_pack/.DS_Store (10244 B); promptpacks/journal_tkde_plus_build_pack/TKDE_PLUS_ARTIFACT_MAP.md (4837 B); promptpacks/journal_tkde_plus_build_pack/TKDE_PLUS_BUILD_STATUS_LEDGER.md (4601 B); promptpacks/journal_tkde_plus_build_pack/TKDE_PLUS_BUILD_STATUS_LEDGER.csv (3923 B); promptpacks/journal_tkde_plus_build_pack/protocol_contracts/MASTER_PROTOCOL_TABLE.md (2876 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
promptpacks/tkde_higher_upgrade_prompt_pack_v1,35584,18,"Local environment, cache, archive, backup, or duplicate package.",historical/local-only/environment/generated,no,no,yes,Explicitly excluded by the governing public-repository safety rules.,high,promptpacks/tkde_higher_upgrade_prompt_pack_v1/00_README_EXECUTION_ORDER_AND_RUNTIME_PLAN.md (4084 B); promptpacks/tkde_higher_upgrade_prompt_pack_v1/03_RB23_V14_SPLIT_EXPORT_FIXED_RUNBOOK_FACTORY.md (3259 B); promptpacks/tkde_higher_upgrade_prompt_pack_v1/01_FIX_PREDICTION_EXPORT_AND_VALIDATION.md (3028 B); promptpacks/tkde_higher_upgrade_prompt_pack_v1/02_RB27_V14_EXPORT_FIXED_T4_RUNBOOK_FACTORY.md (2732 B); promptpacks/tkde_higher_upgrade_prompt_pack_v1/13_TKDE_MANUSCRIPT_HARDENING_PACKAGE.md (2136 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
promptpacks/tkde_max_value_project_upgrade_pack_v1,34154,18,"Local environment, cache, archive, backup, or duplicate package.",historical/local-only/environment/generated,no,no,yes,Explicitly excluded by the governing public-repository safety rules.,high,promptpacks/tkde_max_value_project_upgrade_pack_v1/.DS_Store (6148 B); promptpacks/tkde_max_value_project_upgrade_pack_v1/RUN_MATRIX_AND_VALUE_RANKING.md (2533 B); promptpacks/tkde_max_value_project_upgrade_pack_v1/00_README_EXECUTION_ORDER.md (2362 B); promptpacks/tkde_max_value_project_upgrade_pack_v1/02_RB28_CLASS_IMBALANCE_LOSS_ROBUSTNESS_GPU.md (2361 B); promptpacks/tkde_max_value_project_upgrade_pack_v1/03_RB29_NEGATIVE_CONTROLS_AND_LEAKAGE_SANITY_GPU.md (2165 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
promptpacks/tkde_plus_build_prompt_pack,57801,12,"Local environment, cache, archive, backup, or duplicate package.",historical/local-only/environment/generated,no,no,yes,Explicitly excluded by the governing public-repository safety rules.,high,promptpacks/tkde_plus_build_prompt_pack/ALL_TKDE_PLUS_BUILD_PROMPTS_COMBINED.md (29201 B); promptpacks/tkde_plus_build_prompt_pack/06_reproducibility_capsule_and_release_package.md (3053 B); promptpacks/tkde_plus_build_prompt_pack/01_tkde_plus_reset_and_artifact_map.md (3040 B); promptpacks/tkde_plus_build_prompt_pack/05_statistical_reporting_and_claim_gate_layer.md (3018 B); promptpacks/tkde_plus_build_prompt_pack/08_tkde_plus_manuscript_and_supplement_skeleton.md (2902 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
promptpacks/v24_ultimate_prompt_pack,89498,19,"Local environment, cache, archive, backup, or duplicate package.",historical/local-only/environment/generated,no,no,yes,Explicitly excluded by the governing public-repository safety rules.,high,promptpacks/v24_ultimate_prompt_pack/ALL_PROMPTS_COMBINED.md (41681 B); promptpacks/v24_ultimate_prompt_pack/.DS_Store (6148 B); promptpacks/v24_ultimate_prompt_pack/01_MASTER_ORCHESTRATOR_BUILD_ONLY.md (4775 B); promptpacks/v24_ultimate_prompt_pack/03_EXPERIMENT_MATRIX_BEYOND_TKDE.md (3788 B); promptpacks/v24_ultimate_prompt_pack/02_HIGHER_NOVELTY_METHODS_BUILD.md (3660 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
pyproject.toml,874,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,pyproject.toml (874 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
rb13,0,0,Project surface not part of the final dependency closure by name alone.,unknown or historical candidate,no by default,possible,yes pending proof,The allowlist is explicit; inclusion requires canonical-source evidence.,medium,,False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
rb44_dgraphfin,0,0,Project surface not part of the final dependency closure by name alone.,unknown or historical candidate,no by default,possible,yes pending proof,The allowlist is explicit; inclusion requires canonical-source evidence.,medium,,False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
release,34711881,598,"Evidence, reports, release metadata, or generated publication outputs.",generated evidence/release output,allowlist only,yes,partial,"Include only frozen aggregates, manifests, readiness reports, and final PDFs.",medium,release/fraudshiftbench_no_gpu_paper_artifact_clean.zip (3269266 B); release/fraudshiftbench_no_gpu_paper_artifact.zip (3269266 B); release/tkde_visual_rebuild/tkde_visual_source_analysis_package.zip (3174415 B); release/tkde_source_tables.zip (3068909 B); release/tkde_manuscript_package.zip (2981539 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
release/.DS_Store,10244,1,"Local environment, cache, archive, backup, or duplicate package.",historical/local-only/environment/generated,no,no,yes,Explicitly excluded by the governing public-repository safety rules.,high,release/.DS_Store (10244 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
release/fraudshiftbench_no_gpu_paper_artifact,11700780,427,"Evidence, reports, release metadata, or generated publication outputs.",generated evidence/release output,allowlist only,yes,partial,"Include only frozen aggregates, manifests, readiness reports, and final PDFs.",medium,release/fraudshiftbench_no_gpu_paper_artifact/results/v28_imported/V28_IMPORT_MANIFEST.json (1393613 B); release/fraudshiftbench_no_gpu_paper_artifact/results/v28_imported/V28_ALL_RUNS_IMPORT_MANIFEST.json (1393613 B); release/fraudshiftbench_no_gpu_paper_artifact/results/v26_imported/V26_IBM_AML_VALIDATION_REPORT.json (1214192 B); release/fraudshiftbench_no_gpu_paper_artifact/paper/main.pdf (749815 B); release/fraudshiftbench_no_gpu_paper_artifact/results/v28_imported/V28_ALL_RUNS_IMPORT_MANIFEST.csv (731150 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
release/fraudshiftbench_no_gpu_paper_artifact.zip,3269266,1,"Local environment, cache, archive, backup, or duplicate package.",historical/local-only/environment/generated,no,no,yes,Explicitly excluded by the governing public-repository safety rules.,high,release/fraudshiftbench_no_gpu_paper_artifact.zip (3269266 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
release/fraudshiftbench_no_gpu_paper_artifact_clean.zip,3269266,1,"Local environment, cache, archive, backup, or duplicate package.",historical/local-only/environment/generated,no,no,yes,Explicitly excluded by the governing public-repository safety rules.,high,release/fraudshiftbench_no_gpu_paper_artifact_clean.zip (3269266 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
release/paper_clean.zip,1504200,1,"Local environment, cache, archive, backup, or duplicate package.",historical/local-only/environment/generated,no,no,yes,Explicitly excluded by the governing public-repository safety rules.,high,release/paper_clean.zip (1504200 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
release/tkde_artifact_manifest.csv,73558,1,"Evidence, reports, release metadata, or generated publication outputs.",generated evidence/release output,allowlist only,yes,partial,"Include only frozen aggregates, manifests, readiness reports, and final PDFs.",medium,release/tkde_artifact_manifest.csv (73558 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
release/tkde_excluded_file_manifest.csv,22084,1,"Evidence, reports, release metadata, or generated publication outputs.",generated evidence/release output,allowlist only,yes,partial,"Include only frozen aggregates, manifests, readiness reports, and final PDFs.",medium,release/tkde_excluded_file_manifest.csv (22084 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
release/tkde_manuscript_package.zip,2981539,1,"Local environment, cache, archive, backup, or duplicate package.",historical/local-only/environment/generated,no,no,yes,Explicitly excluded by the governing public-repository safety rules.,high,release/tkde_manuscript_package.zip (2981539 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
release/tkde_reproducibility_readme.md,2764,1,"Evidence, reports, release metadata, or generated publication outputs.",generated evidence/release output,allowlist only,yes,partial,"Include only frozen aggregates, manifests, readiness reports, and final PDFs.",medium,release/tkde_reproducibility_readme.md (2764 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
release/tkde_source_tables.zip,3068909,1,"Local environment, cache, archive, backup, or duplicate package.",historical/local-only/environment/generated,no,no,yes,Explicitly excluded by the governing public-repository safety rules.,high,release/tkde_source_tables.zip (3068909 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
release/tkde_visual_rebuild,8809271,162,"Evidence, reports, release metadata, or generated publication outputs.",generated evidence/release output,allowlist only,yes,partial,"Include only frozen aggregates, manifests, readiness reports, and final PDFs.",medium,release/tkde_visual_rebuild/tkde_visual_source_analysis_package.zip (3174415 B); release/tkde_visual_rebuild/tkde_visual_manuscript_package.zip (2301945 B); release/tkde_visual_rebuild/tkde_visual_manuscript_package/paper_tkde/supplement/supplement.pdf (460527 B); release/tkde_visual_rebuild/tkde_visual_manuscript_package/paper_tkde/main.pdf (444276 B); release/tkde_visual_rebuild/tkde_visual_manuscript_package/results/tkde_visual_rebuild/figure_data/fig05_matched_ablation_effects.csv (283492 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
releases,10244,10,Project surface not part of the final dependency closure by name alone.,unknown or historical candidate,no by default,possible,yes pending proof,The allowlist is explicit; inclusion requires canonical-source evidence.,medium,releases/.DS_Store (6148 B); releases/v1.0/FRAUDSHIFTBENCH_V1_CHECKSUMS.sha256 (3231 B); releases/v1.0/FRAUDSHIFTBENCH_V1_ARTIFACT_MANIFEST.md (148 B); releases/v1.0/FRAUDSHIFTBENCH_V1_ARTIFACT_CHECKLIST.md (118 B); releases/v1.0/FRAUDSHIFTBENCH_V1_REPRODUCTION_MODES.md (106 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
requirements-dev.txt,120,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,requirements-dev.txt (120 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
requirements.txt,385,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,requirements.txt (385 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
results,2294044318,4143,"Evidence, reports, release metadata, or generated publication outputs.",generated evidence/release output,allowlist only,yes,partial,"Include only frozen aggregates, manifests, readiness reports, and final PDFs.",medium,results/runs/graph_harm/node_level_graph_harm.csv (318606600 B); results/runs/rb01_graph_harm/harm_predictor_features.csv (231871767 B); results/runs/rb01_graph_harm/node_level_graph_harm.csv (139305194 B); results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv (19502682 B); results/runs_rb11_sage_family/predictions/elliptic__inductive_isolated__sage_maxpool__seed3.csv (7525988 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
results/.DS_Store,51204,1,"Local environment, cache, archive, backup, or duplicate package.",historical/local-only/environment/generated,no,no,yes,Explicitly excluded by the governing public-repository safety rules.,high,results/.DS_Store (51204 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
results/aaai_checks,4279,1,"Evidence, reports, release metadata, or generated publication outputs.",generated evidence/release output,allowlist only,yes,partial,"Include only frozen aggregates, manifests, readiness reports, and final PDFs.",medium,results/aaai_checks/AAAI_READINESS_SCORECARD.json (4279 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
results/aaai_plan,195430,9,"Evidence, reports, release metadata, or generated publication outputs.",generated evidence/release output,allowlist only,yes,partial,"Include only frozen aggregates, manifests, readiness reports, and final PDFs.",medium,results/aaai_plan/rolling_validation_plan.csv (167454 B); results/aaai_plan/gating_plan.csv (11423 B); results/aaai_plan/aaai_run_plan.md (7605 B); results/aaai_plan/aaai_run_plan.csv (5180 B); results/aaai_plan/rolling_validation_plan.md (2163 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
results/ablation_results.csv,300,1,"Evidence, reports, release metadata, or generated publication outputs.",generated evidence/release output,allowlist only,yes,partial,"Include only frozen aggregates, manifests, readiness reports, and final PDFs.",medium,results/ablation_results.csv (300 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
results/benchmark_synthesis,71733,34,"Evidence, reports, release metadata, or generated publication outputs.",generated evidence/release output,allowlist only,yes,partial,"Include only frozen aggregates, manifests, readiness reports, and final PDFs.",medium,results/benchmark_synthesis/FRAUDSHIFTBENCH_SCORECARD_MATRIX.png (32928 B); results/benchmark_synthesis/protocol_sensitivity_index.json (4705 B); results/benchmark_synthesis/benchmark_disagreement_matrix.png (3214 B); results/benchmark_synthesis/benchmark_disagreement_matrix.md (2767 B); results/benchmark_synthesis/protocol_sensitivity_index.md (2496 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
results/beyond_non_gpu_audit,568,1,"Evidence, reports, release metadata, or generated publication outputs.",generated evidence/release output,allowlist only,yes,partial,"Include only frozen aggregates, manifests, readiness reports, and final PDFs.",medium,results/beyond_non_gpu_audit/summary.json (568 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
results/business_cost.csv,717,1,"Evidence, reports, release metadata, or generated publication outputs.",generated evidence/release output,allowlist only,yes,partial,"Include only frozen aggregates, manifests, readiness reports, and final PDFs.",medium,results/business_cost.csv (717 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
results/business_cost.png,244578,1,"Evidence, reports, release metadata, or generated publication outputs.",generated evidence/release output,allowlist only,yes,partial,"Include only frozen aggregates, manifests, readiness reports, and final PDFs.",medium,results/business_cost.png (244578 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
results/business_cost_sweep.csv,3612,1,"Evidence, reports, release metadata, or generated publication outputs.",generated evidence/release output,allowlist only,yes,partial,"Include only frozen aggregates, manifests, readiness reports, and final PDFs.",medium,results/business_cost_sweep.csv (3612 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
results/checkpoints,8853450,5,"Evidence, reports, release metadata, or generated publication outputs.",generated evidence/release output,allowlist only,yes,partial,"Include only frozen aggregates, manifests, readiness reports, and final PDFs.",medium,results/checkpoints/sage_feature_knn.pt (1770786 B); results/checkpoints/sage_similarity.pt (1770754 B); results/checkpoints/sage_augmented.pt (1770658 B); results/checkpoints/sage_temporal.pt (1770626 B); results/checkpoints/sage_original.pt (1770626 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
results/combined,14664,9,"Evidence, reports, release metadata, or generated publication outputs.",generated evidence/release output,allowlist only,yes,partial,"Include only frozen aggregates, manifests, readiness reports, and final PDFs.",medium,results/combined/V26_V27_V28_COMPARISON_REPORT.md (6646 B); results/combined/V26_V27_V28_PROTOCOL_SENSITIVITY_TABLE.md (2354 B); results/combined/V26_V27_V28_PROTOCOL_SENSITIVITY_TABLE.csv (1871 B); results/combined/V26_V27_V28_SOURCE_TABLE.md (1033 B); results/combined/V26_V27_V28_SOURCE_TABLE.csv (896 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
results/cpu_env_diagnostics,6520,4,"Evidence, reports, release metadata, or generated publication outputs.",generated evidence/release output,allowlist only,yes,partial,"Include only frozen aggregates, manifests, readiness reports, and final PDFs.",medium,results/cpu_env_diagnostics/environment_matrix.csv (4841 B); results/cpu_env_diagnostics/manifest.json (1175 B); results/cpu_env_diagnostics/import_crash_report.md (404 B); results/cpu_env_diagnostics/recommended_fixes.md (100 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
results/cpu_runs,150752,106,"Evidence, reports, release metadata, or generated publication outputs.",generated evidence/release output,allowlist only,yes,partial,"Include only frozen aggregates, manifests, readiness reports, and final PDFs.",medium,results/cpu_runs/20260617_141830/cmd_324.out (55261 B); results/cpu_runs/summary.json (30656 B); results/cpu_runs/20260617_141830/final_summary.json (30656 B); results/cpu_runs/20260617_141830/command_log.txt (7804 B); results/cpu_runs/20260617_141739/environment.txt (3947 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
results/distribution_shift.csv,1596,1,"Evidence, reports, release metadata, or generated publication outputs.",generated evidence/release output,allowlist only,yes,partial,"Include only frozen aggregates, manifests, readiness reports, and final PDFs.",medium,results/distribution_shift.csv (1596 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
results/distribution_shift.png,271200,1,"Evidence, reports, release metadata, or generated publication outputs.",generated evidence/release output,allowlist only,yes,partial,"Include only frozen aggregates, manifests, readiness reports, and final PDFs.",medium,results/distribution_shift.png (271200 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
results/elliptic_imported,213565,14,"Evidence, reports, release metadata, or generated publication outputs.",generated evidence/release output,allowlist only,yes,partial,"Include only frozen aggregates, manifests, readiness reports, and final PDFs.",medium,results/elliptic_imported/tables/ELLIPTIC_MODEL_PROTOCOL_SEED_LEVEL.csv (187375 B); results/elliptic_imported/tables/ELLIPTIC_PROTOCOL_SUMMARY.md (7539 B); results/elliptic_imported/tables/ELLIPTIC_PROTOCOL_SUMMARY.csv (6049 B); results/elliptic_imported/ELLIPTIC_IMPORTED_ARTIFACT_MANIFEST.json (2428 B); results/elliptic_imported/ELLIPTIC_VALIDATION_REPORT.json (1895 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
results/feature_importance_comparison.png,65279,1,"Evidence, reports, release metadata, or generated publication outputs.",generated evidence/release output,allowlist only,yes,partial,"Include only frozen aggregates, manifests, readiness reports, and final PDFs.",medium,results/feature_importance_comparison.png (65279 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
results/figure_table_audit,8822,3,"Evidence, reports, release metadata, or generated publication outputs.",generated evidence/release output,allowlist only,yes,partial,"Include only frozen aggregates, manifests, readiness reports, and final PDFs.",medium,results/figure_table_audit/audit_results.csv (4883 B); results/figure_table_audit/audit_report.md (3865 B); results/figure_table_audit/manifest.json (74 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
results/figures,391837,5,"Evidence, reports, release metadata, or generated publication outputs.",generated evidence/release output,allowlist only,yes,partial,"Include only frozen aggregates, manifests, readiness reports, and final PDFs.",medium,results/figures/fig_graph_construction.png (104149 B); results/figures/fig_model_comparison.png (80188 B); results/figures/fig_feature_importance.png (72982 B); results/figures/fig_seed_summary.png (71833 B); results/figures/fig_ablation.png (62685 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
results/fraudshiftbench_ultra,19553,6,"Evidence, reports, release metadata, or generated publication outputs.",generated evidence/release output,allowlist only,yes,partial,"Include only frozen aggregates, manifests, readiness reports, and final PDFs.",medium,results/fraudshiftbench_ultra/EVIDENCE_RECONCILIATION_REPORT.json (6604 B); results/fraudshiftbench_ultra/EVIDENCE_RECONCILIATION_REPORT.md (3707 B); results/fraudshiftbench_ultra/evidence_reconciliation.md (3700 B); results/fraudshiftbench_ultra/evidence_reconciliation.csv (3296 B); results/fraudshiftbench_ultra/MODEL_COVERAGE_AUDIT.md (1229 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
results/fraudshiftbench_v28,5288,14,"Evidence, reports, release metadata, or generated publication outputs.",generated evidence/release output,allowlist only,yes,partial,"Include only frozen aggregates, manifests, readiness reports, and final PDFs.",medium,results/fraudshiftbench_v28/V28_WORST_WINDOW_TEMPORAL_DEGRADATION_REPORT.md (392 B); results/fraudshiftbench_v28/V28_GRAPH_CONSTRUCTION_ABLATION_REPORT.md (386 B); results/fraudshiftbench_v28/V28_LABEL_DELAY_SIMULATION_REPORT.md (381 B); results/fraudshiftbench_v28/V28_PROTOCOL_SENSITIVITY_UPDATE.md (379 B); results/fraudshiftbench_v28/V28_DISAGREEMENT_MATRIX_UPDATE.md (378 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
results/fraudshiftbench_v29,548,4,"Evidence, reports, release metadata, or generated publication outputs.",generated evidence/release output,allowlist only,yes,partial,"Include only frozen aggregates, manifests, readiness reports, and final PDFs.",medium,results/fraudshiftbench_v29/V29_TEMPORAL_GNN_IMPLEMENTATION_BLOCKED_REPORT.md (150 B); results/fraudshiftbench_v29/V29_CROSS_VARIANT_TRANSFER_REPORT.md (137 B); results/fraudshiftbench_v29/V29_STRESS_TEST_SUITE_REPORT.md (132 B); results/fraudshiftbench_v29/V29_COLD_START_EVALUATION.md (129 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
results/fraudshiftbench_v35,60,1,"Evidence, reports, release metadata, or generated publication outputs.",generated evidence/release output,allowlist only,yes,partial,"Include only frozen aggregates, manifests, readiness reports, and final PDFs.",medium,results/fraudshiftbench_v35/V35_STRESS_TEST_SUITE_REPORT.md (60 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
results/fraudshiftbench_v36,76,1,"Evidence, reports, release metadata, or generated publication outputs.",generated evidence/release output,allowlist only,yes,partial,"Include only frozen aggregates, manifests, readiness reports, and final PDFs.",medium,results/fraudshiftbench_v36/V36_COMPUTE_BUDGET_FAIRNESS_REPORT.md (76 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
results/fraudshiftbench_v37,87,1,"Evidence, reports, release metadata, or generated publication outputs.",generated evidence/release output,allowlist only,yes,partial,"Include only frozen aggregates, manifests, readiness reports, and final PDFs.",medium,results/fraudshiftbench_v37/V37_CALIBRATION_DECISION_RELIABILITY_REPORT.md (87 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
results/fraudshiftbench_v38,78,1,"Evidence, reports, release metadata, or generated publication outputs.",generated evidence/release output,allowlist only,yes,partial,"Include only frozen aggregates, manifests, readiness reports, and final PDFs.",medium,results/fraudshiftbench_v38/V38_CROSS_DATASET_TRANSFER_REPORT.md (78 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
results/gat_baseline_model.pt,991802,1,"Evidence, reports, release metadata, or generated publication outputs.",generated evidence/release output,allowlist only,yes,partial,"Include only frozen aggregates, manifests, readiness reports, and final PDFs.",medium,results/gat_baseline_model.pt (991802 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
results/gat_graph_aug_model.pt,991522,1,"Evidence, reports, release metadata, or generated publication outputs.",generated evidence/release output,allowlist only,yes,partial,"Include only frozen aggregates, manifests, readiness reports, and final PDFs.",medium,results/gat_graph_aug_model.pt (991522 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
results/gat_weighted_model.pt,991522,1,"Evidence, reports, release metadata, or generated publication outputs.",generated evidence/release output,allowlist only,yes,partial,"Include only frozen aggregates, manifests, readiness reports, and final PDFs.",medium,results/gat_weighted_model.pt (991522 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
results/github_publish,0,0,"Evidence, reports, release metadata, or generated publication outputs.",generated evidence/release output,allowlist only,yes,partial,"Include only frozen aggregates, manifests, readiness reports, and final PDFs.",medium,,False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
results/gnn_feature_saliency.csv,2372,1,"Evidence, reports, release metadata, or generated publication outputs.",generated evidence/release output,allowlist only,yes,partial,"Include only frozen aggregates, manifests, readiness reports, and final PDFs.",medium,results/gnn_feature_saliency.csv (2372 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
results/graph_harm,12298,11,"Evidence, reports, release metadata, or generated publication outputs.",generated evidence/release output,allowlist only,yes,partial,"Include only frozen aggregates, manifests, readiness reports, and final PDFs.",medium,results/graph_harm/graph_harm_by_timestep.csv (2910 B); results/graph_harm/failure_atlas.json (1593 B); results/graph_harm/synthetic/graph_harm_metrics.json (1581 B); results/graph_harm/synthetic/graph_harm_report.md (1417 B); results/graph_harm/failure_atlas.md (1334 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
results/graph_stats.csv,415,1,"Evidence, reports, release metadata, or generated publication outputs.",generated evidence/release output,allowlist only,yes,partial,"Include only frozen aggregates, manifests, readiness reports, and final PDFs.",medium,results/graph_stats.csv (415 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
results/leakage_gap,6451,4,"Evidence, reports, release metadata, or generated publication outputs.",generated evidence/release output,allowlist only,yes,partial,"Include only frozen aggregates, manifests, readiness reports, and final PDFs.",medium,results/leakage_gap/transductive_seed42.json (2626 B); results/leakage_gap/inductive_seed42.json (2595 B); results/leakage_gap/inductive_seed42.log (729 B); results/leakage_gap/transductive_seed42.log (501 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
results/metrics.csv,676,1,"Evidence, reports, release metadata, or generated publication outputs.",generated evidence/release output,allowlist only,yes,partial,"Include only frozen aggregates, manifests, readiness reports, and final PDFs.",medium,results/metrics.csv (676 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
results/overnight_20260418_115841,117442,51,"Evidence, reports, release metadata, or generated publication outputs.",generated evidence/release output,allowlist only,yes,partial,"Include only frozen aggregates, manifests, readiness reports, and final PDFs.",medium,results/overnight_20260418_115841/fix2.log (28437 B); results/overnight_20260418_115841/fix2_hybrid/per_run.csv (7120 B); results/overnight_20260418_115841/fix2_hybrid/summary.json (3427 B); results/overnight_20260418_115841/fix4_transductive/transductive_seed7.json (2639 B); results/overnight_20260418_115841/fix4_transductive/transductive_seed5.json (2638 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
